[a = 0.00]: profit: 7, weight: 10, solution: ( 0 3 1 );
[a = 0.01]: profit: 7, weight: 10, solution: ( 0 3 1 );
[a = 0.02]: profit: 7, weight: 10, solution: ( 0 3 1 );
[a = 0.03]: profit: 7, weight: 10, solution: ( 0 3 1 );
[a = 0.04]: profit: 7, weight: 10, solution: ( 0 3 1 );
[a = 0.05]: profit: 7, weight: 10, solution: ( 0 3 1 );
[a = 0.06]: profit: 7, weight: 10, solution: ( 0 3 1 );
[a = 0.07]: profit: 7, weight: 10, solution: ( 0 3 1 );
[a = 0.08]: profit: 7, weight: 10, solution: ( 0 3 1 );
[a = 0.09]: profit: 7, weight: 10, solution: ( 0 3 1 );
[a = 0.10]: profit: 7, weight: 10, solution: ( 0 3 1 );
[a = 0.11]: profit: 7, weight: 10, solution: ( 0 3 1 );
[a = 0.12]: profit: 7, weight: 10, solution: ( 0 3 1 );
[a = 0.13]: profit: 7, weight: 10, solution: ( 0 3 1 );
[a = 0.14]: profit: 7, weight: 10, solution: ( 0 3 1 );
[a = 0.15]: profit: 7, weight: 10, solution: ( 0 3 1 );
[a = 0.16]: profit: 7, weight: 10, solution: ( 0 3 1 );
[a = 0.17]: profit: 7, weight: 10, solution: ( 0 3 1 );
[a = 0.18]: profit: 7, weight: 10, solution: ( 0 3 1 );
[a = 0.19]: profit: 7, weight: 10, solution: ( 0 3 1 );
[a = 0.20]: profit: 7, weight: 10, solution: ( 0 3 1 );
[a = 0.21]: profit: 7, weight: 10, solution: ( 0 3 1 );
[a = 0.22]: profit: 7, weight: 10, solution: ( 0 3 1 );
[a = 0.23]: profit: 7, weight: 10, solution: ( 0 3 1 );
[a = 0.24]: profit: 6, weight: 9, solution: ( 0 4 );
[a = 0.25]: profit: 7, weight: 10, solution: ( 0 3 1 );
[a = 0.26]: profit: 6, weight: 9, solution: ( 0 4 );
[a = 0.27]: profit: 6, weight: 9, solution: ( 0 4 );
[a = 0.28]: profit: 7, weight: 10, solution: ( 0 3 1 );
[a = 0.29]: profit: 7, weight: 10, solution: ( 0 3 1 );
[a = 0.30]: profit: 6, weight: 9, solution: ( 0 4 );
[a = 0.31]: profit: 7, weight: 10, solution: ( 0 3 1 );
[a = 0.32]: profit: 6, weight: 9, solution: ( 0 4 );
[a = 0.33]: profit: 7, weight: 10, solution: ( 0 3 1 );
[a = 0.34]: profit: 6, weight: 9, solution: ( 0 4 );
[a = 0.35]: profit: 6, weight: 9, solution: ( 0 4 );
[a = 0.36]: profit: 6, weight: 9, solution: ( 0 4 );
[a = 0.37]: profit: 7, weight: 10, solution: ( 0 3 1 );
[a = 0.38]: profit: 7, weight: 10, solution: ( 0 3 1 );
[a = 0.39]: profit: 6, weight: 9, solution: ( 0 4 );
[a = 0.40]: profit: 7, weight: 10, solution: ( 0 3 1 );
[a = 0.41]: profit: 6, weight: 9, solution: ( 0 4 );
[a = 0.42]: profit: 6, weight: 9, solution: ( 0 4 );
[a = 0.43]: profit: 7, weight: 10, solution: ( 3 0 1 );
[a = 0.44]: profit: 6, weight: 9, solution: ( 0 4 );
[a = 0.45]: profit: 6, weight: 9, solution: ( 0 4 );
[a = 0.46]: profit: 7, weight: 10, solution: ( 3 0 1 );
[a = 0.47]: profit: 7, weight: 10, solution: ( 3 0 1 );
[a = 0.48]: profit: 6, weight: 9, solution: ( 0 4 );
[a = 0.49]: profit: 7, weight: 10, solution: ( 0 3 1 );
[a = 0.50]: profit: 7, weight: 10, solution: ( 3 0 1 );
[a = 0.51]: profit: 7, weight: 10, solution: ( 3 0 1 );
[a = 0.52]: profit: 7, weight: 10, solution: ( 3 0 1 );
[a = 0.53]: profit: 7, weight: 10, solution: ( 3 0 1 );
[a = 0.54]: profit: 7, weight: 10, solution: ( 3 0 1 );
[a = 0.55]: profit: 7, weight: 10, solution: ( 0 3 1 );
[a = 0.56]: profit: 7, weight: 10, solution: ( 3 0 1 );
[a = 0.57]: profit: 6, weight: 9, solution: ( 4 0 );
[a = 0.58]: profit: 6, weight: 9, solution: ( 4 0 );
[a = 0.59]: profit: 6, weight: 9, solution: ( 4 0 );
[a = 0.60]: profit: 6, weight: 9, solution: ( 4 0 );
[a = 0.61]: profit: 6, weight: 9, solution: ( 0 4 );
[a = 0.62]: profit: 7, weight: 10, solution: ( 0 1 3 );
[a = 0.63]: profit: 7, weight: 10, solution: ( 3 0 1 );
[a = 0.64]: profit: 7, weight: 10, solution: ( 3 0 1 );
[a = 0.65]: profit: 7, weight: 10, solution: ( 0 3 1 );
[a = 0.66]: profit: 7, weight: 10, solution: ( 3 0 1 );
[a = 0.67]: profit: 6, weight: 9, solution: ( 4 0 );
[a = 0.68]: profit: 7, weight: 10, solution: ( 0 1 3 );
[a = 0.69]: profit: 6, weight: 9, solution: ( 4 0 );
[a = 0.70]: profit: 6, weight: 9, solution: ( 4 0 );
[a = 0.71]: profit: 7, weight: 10, solution: ( 3 0 1 );
[a = 0.72]: profit: 6, weight: 9, solution: ( 4 0 );
[a = 0.73]: profit: 7, weight: 10, solution: ( 0 1 3 );
[a = 0.74]: profit: 7, weight: 10, solution: ( 3 0 1 );
[a = 0.75]: profit: 7, weight: 10, solution: ( 1 0 3 );
[a = 0.76]: profit: 7, weight: 10, solution: ( 3 1 0 );
[a = 0.77]: profit: 6, weight: 9, solution: ( 4 0 );
[a = 0.78]: profit: 6, weight: 9, solution: ( 0 4 );
[a = 0.79]: profit: 7, weight: 10, solution: ( 0 1 3 );
[a = 0.80]: profit: 6, weight: 9, solution: ( 4 0 );
[a = 0.81]: profit: 7, weight: 10, solution: ( 3 1 0 );
[a = 0.82]: profit: 7, weight: 10, solution: ( 1 0 3 );
[a = 0.83]: profit: 6, weight: 10, solution: ( 1 4 );
[a = 0.84]: profit: 7, weight: 10, solution: ( 0 3 1 );
[a = 0.85]: profit: 7, weight: 10, solution: ( 0 1 3 );
[a = 0.86]: profit: 7, weight: 10, solution: ( 3 1 0 );
[a = 0.87]: profit: 7, weight: 10, solution: ( 3 1 0 );
[a = 0.88]: profit: 6, weight: 9, solution: ( 4 0 );
[a = 0.89]: profit: 7, weight: 10, solution: ( 0 1 3 );
[a = 0.90]: profit: 6, weight: 9, solution: ( 4 0 );
[a = 0.91]: profit: 6, weight: 9, solution: ( 4 0 );
[a = 0.92]: profit: 7, weight: 10, solution: ( 1 3 0 );
[a = 0.93]: profit: 6, weight: 10, solution: ( 1 4 );
[a = 0.94]: profit: 6, weight: 9, solution: ( 4 0 );
